일자,자원,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2021-01-15,태양광,0.06,0.01,0.01,0.0,0.03,0.05,0.01,0.48,12.15,43.61,75.95,109.14,133.7,141.33,133.85,99.62,37.07,8.63,6.54,7.64,4.68,1.15,0.36,0.06
2021-01-15,풍력,106.58,133.6,115.36,99.0,109.3,128.28,104.59,94.93,112.12,115.51,117.59,101.5,114.38,129.05,108.61,93.49,82.34,60.11,77.06,67.23,56.44,70.46,135.53,197.95
2021-01-16,태양광,0.05,0.01,0.0,0.0,0.03,0.02,0.0,0.5,18.69,58.13,91.37,92.43,135.91,154.75,90.08,47.1,20.17,8.14,6.02,5.53,2.32,0.94,0.13,0.02
2021-01-16,풍력,181.61,169.14,196.28,218.76,212.88,238.12,210.87,196.57,192.99,193.68,187.67,189.62,185.86,170.36,195.96,194.77,185.13,185.89,206.2,207.09,187.58,177.34,165.42,164.67
2021-01-17,태양광,0.05,0.01,0.0,0.0,0.03,0.04,0.0,0.03,3.95,13.0,28.71,44.3,70.9,74.46,60.27,41.97,18.31,5.87,4.08,2.77,1.4,0.38,0.03,0.01
2021-01-17,풍력,153.36,173.54,180.62,170.06,159.64,160.05,146.49,138.81,136.63,138.34,155.28,156.07,151.04,143.08,133.45,119.53,111.56,99.53,101.02,83.75,61.95,32.0,16.32,6.77
2021-01-18,태양광,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.07,7.61,32.35,72.24,89.2,116.85,138.72,116.42,74.11,27.05,8.14,5.77,6.4,3.42,0.85,0.14,0.03
2021-01-18,풍력,8.61,16.18,19.51,36.51,58.17,82.94,75.97,72.28,80.12,102.54,111.78,108.59,132.09,124.89,124.69,153.02,152.25,147.3,156.18,175.11,168.79,172.5,177.52,169.15
2021-01-19,태양광,0.01,0.01,0.01,0.0,0.03,0.03,,0.8,30.03,106.97,163.18,200.9,216.24,215.05,193.98,144.23,66.84,9.38,6.34,7.72,6.57,4.2,0.98,0.12
2021-01-19,풍력,149.76,127.01,,94.9,88.05,109.68,95.09,101.6,137.95,132.13,118.29,96.75,96.94,71.62,71.41,59.42,43.0,30.25,38.79,34.0,23.05,7.94,3.08,1.36
2021-01-20,태양광,0.02,0.01,0.01,0.0,0.03,0.05,0.05,0.48,23.24,101.24,152.35,172.56,166.9,129.36,91.91,49.25,22.15,4.31,6.07,7.22,5.3,3.65,0.82,0.36
2021-01-20,풍력,1.21,1.5,2.92,4.5,1.96,0.37,1.82,5.42,13.0,6.62,18.83,17.02,24.89,19.35,16.81,23.22,12.28,10.23,24.49,28.4,30.45,20.34,19.33,24.37
2021-01-21,태양광,0.02,0.01,0.01,0.0,0.03,0.05,0.03,0.57,18.42,79.95,119.78,131.1,140.45,132.29,93.31,22.78,8.23,2.53,4.8,7.04,6.8,2.47,1.56,0.1
2021-01-21,풍력,24.92,23.28,14.39,11.08,16.01,22.43,17.89,17.55,17.86,16.69,25.4,24.81,20.42,30.58,26.97,32.35,20.4,14.5,26.35,25.08,29.11,30.37,38.6,33.04
2021-01-22,태양광,0.01,0.01,0.01,0.0,0.03,0.03,0.0,0.02,2.82,12.63,23.18,15.5,12.48,23.54,15.98,7.61,2.13,1.27,1.89,0.66,0.01,0.01,0.02,0.01
2021-01-22,풍력,27.96,40.72,29.66,32.1,29.55,33.26,32.84,34.27,30.94,14.0,5.47,2.61,8.64,9.5,8.44,16.08,19.01,22.62,45.03,42.84,28.78,20.16,19.76,13.97
2021-01-23,태양광,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.07,8.29,22.11,27.72,23.82,25.72,14.93,6.58,1.39,0.54,3.46,1.4,0.55,0.13,0.01,0.0
2021-01-23,풍력,11.1,9.9,18.97,26.18,49.14,76.51,91.6,77.01,90.54,94.52,93.98,98.27,90.07,92.89,100.35,115.61,145.54,147.68,178.6,185.74,198.83,178.84,181.95,186.62
2021-01-24,태양광,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.64,22.59,70.43,121.11,154.35,165.69,158.54,126.04,98.9,48.23,8.78,6.31,6.84,5.54,4.09,1.05,0.1
2021-01-24,풍력,174.53,157.82,150.75,113.91,61.16,87.7,86.5,90.47,88.57,104.05,74.39,84.62,71.34,48.78,92.56,96.12,62.88,71.93,97.27,126.02,116.54,71.36,80.91,72.02
2021-01-25,태양광,0.03,0.01,0.01,0.0,0.03,0.05,0.04,0.44,12.99,48.94,85.64,123.78,151.45,120.86,119.97,87.94,46.31,10.87,5.96,7.63,5.96,2.06,0.58,0.04
2021-01-25,풍력,77.58,75.9,85.71,98.87,98.75,116.12,95.44,97.22,81.9,101.84,85.04,93.76,89.73,102.03,93.8,80.2,75.42,63.42,65.47,53.73,47.1,39.87,39.24,29.75
2021-01-26,태양광,0.02,0.01,0.01,0.0,0.02,0.02,0.0,0.02,1.51,3.9,16.39,35.36,41.42,32.67,35.51,33.06,32.86,9.2,3.07,2.01,0.28,0.02,0.01,0.0
2021-01-26,풍력,17.81,17.08,18.66,11.64,9.22,11.16,25.3,40.57,91.94,128.13,152.21,148.2,153.7,166.45,150.56,176.38,209.49,220.04,225.18,215.14,205.25,156.33,158.17,132.7
2021-01-27,태양광,0.0,0.0,0.0,0.0,0.15,0.23,0.0,1.16,33.49,111.04,166.97,200.32,211.77,209.41,189.22,144.87,75.52,17.99,6.71,7.33,5.27,1.96,0.6,0.06
2021-01-27,풍력,197.26,217.34,223.27,215.22,212.1,219.58,192.8,170.98,110.37,121.55,105.27,72.81,37.46,49.01,46.97,63.14,52.25,45.1,57.61,51.57,28.75,7.99,2.69,1.42
2021-01-28,태양광,0.08,0.01,0.01,0.0,0.03,0.05,0.05,1.28,33.71,96.68,128.38,147.26,137.49,87.17,76.57,76.08,35.41,9.01,5.48,5.29,2.0,0.4,0.07,0.04
